Flight_no,Departure_airport,Arrival_Airport,Aircraft,Flight_time,standard_Departure,Standard_arrival,Latitude,Longitude,Airline,time_block
FR4731,Milan (BGY),Berlin (SXF),B738,4740,09:15,10:55,52.38,13.5,Ryanair,10
FR135,Rome (CIA),Berlin (SXF),B738,5880,08:55,11:00,52.38,13.5,Ryanair,10
FR184,Cologne (CGN),Berlin (SXF),B738,3240,10:05,11:20,52.38,13.5,Ryanair,12
SU2314,Moscow (SVO),Berlin (SXF),A320,7980,09:35,11:20,52.38,13.5,Aeroflot,10
WW720,Reykjavik (KEF),Berlin (SXF),A321,12000,06:00,11:35,52.38,13.5,WOW air,12
U24672,Milan (MXP),Berlin (SXF),A319,4860,09:50,11:40,52.38,13.5,EasyJet,12
U28209,London (LGW),Berlin (SXF),A320,5880,08:40,11:45,52.38,13.5,EasyJet,12
DY1160,Bergen (BGO),Berlin (SXF),B738,5640,10:25,12:05,52.38,13.5,Norwegian   ,12
FR315,Bucharest (OTP),Berlin (SXF),B738,6960,11:30,12:40,52.38,13.5,Ryanair,12
FR133,Barcelona (BCN),Berlin (SXF),B738,7680,09:35,12:10,52.38,13.5,Ryanair,12
FR4067,Tenerife (TFS),Berlin (SXF),B738,16260,06:10,12:15,52.38,13.5,Ryanair,12
U26977,Edinburgh (EDI),Berlin (SXF),A320,6960,09:15,12:30,52.38,13.5,EasyJet,12
U24612,Zurich (ZRH),Berlin (SXF),A319,4140,10:45,12:35,52.38,13.5,EasyJet,12
U24502,Palma de Mallorca (PMI),Berlin (SXF),A320,8220,10:00,12:55,52.38,13.5,EasyJet,12
B2891,Minsk (MSQ),Berlin (SXF),B735,5400,12:10,13:05,52.38,13.5,Belavia,12
SU2318,Moscow (SVO),Berlin (SXF),B738,8160,11:35,13:20,52.38,13.5,Aeroflot,14
DY1104,Moscow (SVO),Berlin (SXF),B738,8220,11:35,13:20,52.38,13.5,Norwegian   ,14
U24526,Barcelona (BCN),Berlin (SXF),A319,7380,10:30,13:20,52.38,13.5,EasyJet,14
U21745,Toulouse (TLS),Berlin (SXF),A319,6900,11:00,13:30,52.38,13.5,EasyJet,14
FR139,Valencia (VLC),Berlin (SXF),B738,9480,10:55,13:45,52.38,13.5,Ryanair,14
FR2600,Riga (RIX),Berlin (SXF),B738,4620,13:15,13:55,52.38,13.5,Ryanair,14
U26819,Glasgow (GLA),Berlin (SXF),A320,6780,07:05,10:25,52.38,13.5,EasyJet,10
U24634,Basel (BSL),Berlin (SXF),A319,4020,10:25,12:00,52.38,13.5,EasyJet,12
U24522,Malaga (AGP),Berlin (SXF),A319,10920,10:45,14:25,52.38,13.5,EasyJet,14
U24746,Heraklion (HER),Berlin (SXF),A320,11100,20:05,22:25,52.38,13.5,EasyJet,22
MS731,Cairo (CAI),Berlin (SXF),B738,13920,10:20,14:30,52.38,13.5,EgyptAir,14
FR2301,Shannon (SNN),Berlin (SXF),B738,6720,10:50,14:30,52.38,13.5,Ryanair,14
PC977,Istanbul (SAW),Berlin (SXF),A320,8880,12:30,14:40,52.38,13.5,Pegasus Airlines,14
W67739,Skopje (SKP),Berlin (SXF),A320,6960,12:50,15:15,52.38,13.5,Wizz Air,14
FR137,Bologna (BLQ),Berlin (SXF),B738,4560,13:40,15:25,52.38,13.5,Ryanair,16
FR1145,Manchester (MAN),Berlin (SXF),B738,5700,15:15,18:10,52.38,13.5,Ryanair,18
FR199,Bratislava (BTS),Berlin (SXF),B738,3540,14:25,15:40,52.38,13.5,Ryanair,16
U24263,Paris (ORY),Berlin (SXF),A320,4860,14:00,15:45,52.38,13.5,EasyJet,16
U28211,London (LGW),Berlin (SXF),A319,5580,12:50,15:55,52.38,13.5,EasyJet,16
FR186,Cologne (CGN),Berlin (SXF),B738,3360,14:40,15:55,52.38,13.5,Ryanair,16
U24576,Naples (NAP),Berlin (SXF),A319,6900,13:55,16:15,52.38,13.5,EasyJet,16
U26237,Bristol (BRS),Berlin (SXF),A319,5880,13:05,16:15,52.38,13.5,EasyJet   ,16
U22103,London (LTN),Berlin (SXF),A320,5100,13:40,16:35,52.38,13.5,EasyJet,16
U24784,Tel Aviv (TLV),Berlin (SXF),A320,14160,13:15,16:55,52.38,13.5,EasyJet,18
FR1102,Fuerteventura (FUE),Berlin (SXF),B738,16200,11:05,17:00,52.38,13.5,Ryanair,16
U24606,Thessaloniki (SKG),Berlin (SXF),A319,8400,14:30,16:05,52.38,13.5,EasyJet,16
FR1571,Vilnius (VNO),Berlin (SXF),B738,6060,10:25,11:00,52.38,13.5,Ryanair,16
FR111,Palma de Mallorca (PMI),Berlin (SXF),B738,8040,14:35,17:25,52.38,13.5,Ryanair,18
FR8558,Dublin (DUB),Berlin (SXF),B738,6240,14:25,17:45,52.38,13.5,Ryanair,18
U24638,Basel (BSL),Berlin (SXF),A319,3780,16:15,17:55,52.38,13.5,EasyJet,18
U24548,Marseille (MRS),Berlin (SXF),A319,5880,15:40,18:00,52.38,13.5,EasyJet,18
FR151,Glasgow (GLA),Berlin (SXF),B738,6120,14:35,17:45,52.38,13.5,Ryanair,18
FR2607,Treviso (TSF),Berlin (SXF),B738,4140,16:45,18:20,52.38,13.5,Ryanair,18
U24622,Budapest (BUD),Berlin (SXF),A320,4320,14:15,15:45,52.38,13.5,EasyJet,16
FR188,Cologne (CGN),Berlin (SXF),B738,2880,17:25,18:40,52.38,13.5,Ryanair,18
U24546,Nice (NCE),Berlin (SXF),A319,5880,17:00,19:00,52.38,13.5,EasyJet,20
FR171,Athens (ATH),Berlin (SXF),B738,9300,17:20,19:10,52.38,13.5,Ryanair,20
FR1135,Barcelona (BCN),Berlin (SXF),B738,7440,18:00,20:35,52.38,13.5,Ryanair,20
U24566,Amsterdam (AMS),Berlin (SXF),A319,3840,18:00,19:30,52.38,13.5,EasyJet,20
DY1108,Oslo (OSL),Berlin (SXF),B738,5160,18:00,19:35,52.38,13.5,Norwegian,20
HV9515,Munich (MUC),Berlin (SXF),B737,2520,19:10,20:20,52.38,13.5,Transavia,20
U24265,Paris (ORY),Berlin (SXF),A320,5040,18:20,20:10,52.38,13.5,EasyJet,20
U24658,Venice (VCE),Berlin (SXF),A319,4500,18:45,20:25,52.38,13.5,EasyJet,20
FR2528,Madrid (MAD),Berlin (SXF),B738,8880,17:10,20:25,52.38,13.5,Ryanair,20
U24640,Basel (BSL),Berlin (SXF),A320,3900,19:00,20:35,52.38,13.5,EasyJet,20
LY2373,Tel Aviv (TLV),Berlin (SXF),B738,13260,17:15,20:45,52.38,13.5,UP,20
DY4507,Stockholm (ARN),Berlin (SXF),B738,4620,19:30,21:05,52.38,13.5,Norwegian,22
U28215,London (LGW),Berlin (SXF),A319,5760,18:00,21:05,52.38,13.5,EasyJet,22
D83304,Copenhagen (CPH),Berlin (SXF),B738,2700,20:10,21:10,52.38,13.5,Norwegian Air International,20
SU2316,Moscow (SVO),Berlin (SXF),A320,7980,19:35,21:20,52.38,13.5,Aeroflot,22
FR180,Cologne (CGN),Berlin (SXF),B738,3060,20:45,22:00,52.38,13.5,Ryanair,22
FR1147,Thessaloniki (SKG),Berlin (SXF),B738,7920,15:30,17:00,52.38,13.5,Ryanair,18
FR8544,London (STN),Berlin (SXF),B738,4680,19:00,22:00,52.38,13.5,Ryanair,22
U24628,Newcastle (NCL),Berlin (SXF),A319,6000,13:00,16:10,52.38,13.5,EasyJet,16
FR147,London (STN),Berlin (SXF),B738,4500,19:20,22:10,52.38,13.5,Ryanair,22
U21895,Manchester (MAN),Berlin (SXF),A319,6060,19:15,22:20,52.38,13.5,EasyJet,22
U24734,Vienna (VIE),Berlin (SXF),A319,3600,21:00,22:30,52.38,13.5,EasyJet,22
FR4733,Milan (BGY),Berlin (SXF),B738,4500,22:10,23:50,52.38,13.5,Ryanair,0
U24558,Copenhagen (CPH),Berlin (SXF),A319,2820,21:35,22:40,52.38,13.5,EasyJet,22
U24736,Faro (FAO),Berlin (SXF),A319,11460,17:50,22:40,52.38,13.5,EasyJet,22
U21595,Geneva (GVA),Berlin (SXF),A319,4740,20:55,22:45,52.38,13.5,EasyJet,22
U24676,Milan (MXP),Berlin (SXF),A319,4680,20:50,22:40,52.38,13.5,EasyJet,22
FR167,Brussels (BRU),Berlin (SXF),B738,3720,21:25,22:50,52.38,13.5,Ryanair,0
DE185,Agadir (AGA),Berlin (SXF),A320,14100,17:30,22:50,52.38,13.5,Condor   ,22
FR1143,Lisbon (LIS),Berlin (SXF),B738,10620,17:10,21:45,52.38,13.5,Ryanair,22
U24530,Barcelona (BCN),Berlin (SXF),A319,8160,20:10,23:00,52.38,13.5,EasyJet,22
U24590,Barcelona (BCN),Berlin (SXF),A319,7500,20:10,23:00,52.38,13.5,EasyJet,0
U24568,Amsterdam (AMS),Berlin (SXF),A320,3780,21:30,23:00,52.38,13.5,EasyJet,22
U28217,London (LGW),Berlin (SXF),A319,5220,19:55,23:00,52.38,13.5,EasyJet,22
FR141,Rome (CIA),Berlin (SXF),B738,6120,21:00,23:05,52.38,13.5,Ryanair,22
FR328,Bucharest (OTP),Berlin (SXF),B738,6600,20:15,21:25,52.38,13.5,Ryanair,22
FR1149,Sofia (SOF),Berlin (SXF),B738,7080,22:10,23:25,52.38,13.5,Ryanair,0
U24614,Athens (ATH),Berlin (SXF),A319,9420,21:25,23:35,52.38,13.5,EasyJet,0
FR1573,Santander (SDR),Berlin (SXF),B738,7620,19:10,21:40,52.38,13.5,Ryanair,22
AB8383,Tel Aviv (TLV),Berlin (TXL),A320,13980,17:25,20:40,52.559,13.3,Air Berlin,22
AB8267,Budapest (BUD),Berlin (TXL),A320,4380,19:15,20:40,52.559,13.3,Alitalia,20
TK1727,Istanbul (IST),Berlin (TXL),A321,8760,18:50,20:45,52.559,13.3,Turkish Airlines,20
AB8297,Paris (CDG),Berlin (TXL),A320,4440,19:05,20:45,52.559,13.3,Air Berlin,22
AB8077,Helsinki (HEL),Berlin (TXL),A320,5760,19:50,20:45,52.559,13.3,Air Berlin,20
AB8007,Stockholm (ARN),Berlin (TXL),A320,4320,19:15,20:50,52.559,13.3,Air Berlin,22
AB6206,Munich (MUC),Berlin (TXL),A320,2640,19:45,20:55,52.559,13.3,Air Berlin   ,22
4U8063,Nurnberg (NUE),Berlin (TXL),A319,2340,19:55,20:55,52.559,13.3,Germanwings,20
BA8495,London (LCY),Berlin (TXL),E190,4860,18:10,20:55,52.559,13.3,British Airways,20
LH200,Frankfurt (FRA),Berlin (TXL),A321,2700,19:45,20:55,52.559,13.3,Lufthansa,20
AB8739,Milan (LIN),Berlin (TXL),A320,4320,19:20,20:55,52.559,13.3,Air Berlin,22
LH2052,Munich (MUC),Berlin (TXL),A320,2700,20:00,21:05,52.559,13.3,Lufthansa,22
AB6518,Cologne (CGN),Berlin (TXL),A320,2520,-,-,52.559,13.3,Air Berlin,22
BT215,Vilnius (VNO),Berlin (TXL),B735,5040,20:35,21:15,52.559,13.3,Air Baltic,20
EI338,Dublin (DUB),Berlin (TXL),A320,6420,18:10,21:25,52.559,13.3,Aer Lingus,22
AB6558,Stuttgart (STR),Berlin (TXL),A320,2820,20:20,21:30,52.559,13.3,Air Berlin,22
4U8055,Cologne (CGN),Berlin (TXL),A320,2580,20:30,21:40,52.559,13.3,Germanwings,22
AB6208,Munich (MUC),Berlin (TXL),A320,8160,20:30,21:40,52.559,13.3,Alitalia,22
OS273,Vienna (VIE),Berlin (TXL),A320,3000,20:25,21:45,52.559,13.3,Austrian Airlines,22
4U8047,Dusseldorf (DUS),Berlin (TXL),A319,2760,20:45,21:50,52.559,13.3,Germanwings,22
4U8425,Nice (NCE),Berlin (TXL),A319,6540,19:50,21:55,52.559,13.3,Germanwings,22
4U8007,Stuttgart (STR),Berlin (TXL),A319,2820,20:45,22:00,52.559,13.3,Germanwings,22
4U8465,London (LHR),Berlin (TXL),A319,4920,19:10,22:00,52.559,13.3,Germanwings,22
KL1835,Amsterdam (AMS),Berlin (TXL),B738,2940,20:45,22:00,52.559,13.3,KLM,22
AB6454,Dusseldorf (DUS),Berlin (TXL),A320,2520,21:00,22:10,52.559,13.3,Air Berlin,22
4U8405,Paris (CDG),Berlin (TXL),A319,4620,20:35,22:10,52.559,13.3,Germanwings,22
SN2591,Brussels (BRU),Berlin (TXL),A319,3600,20:50,22:10,52.559,13.3,Brussels Airlines,22
BA988,London (LHR),Berlin (TXL),A320,4860,19:20,22:10,52.559,13.3,British Airways,22
LX962,Zurich (ZRH),Berlin (TXL),A320,3540,20:50,22:15,52.559,13.3,Swiss,22
AB8709,Rome (FCO),Berlin (TXL),A320,5880,20:10,22:15,52.559,13.3,Air Berlin,22
LH202,Frankfurt (FRA),Berlin (TXL),A321,2460,21:15,22:25,52.559,13.3,Lufthansa,22
AB8415,Vienna (VIE),Berlin (TXL),A320,3360,21:10,22:25,52.559,13.3,Air Berlin,22
AB6520,Cologne (CGN),Berlin (TXL),A320,2460,21:20,22:25,52.559,13.3,Air Berlin,22
AF1134,Paris (CDG),Berlin (TXL),A321,4920,20:50,22:30,52.559,13.3,Air France,0
LH2054,Munich (MUC),Berlin (TXL),A320,2700,21:30,22:35,52.559,13.3,Lufthansa,22
HG2173,Palma de Mallorca (PMI),Berlin (TXL),B738,7860,20:05,22:45,52.559,13.3,Niki,22
HG7763,Palma de Mallorca (PMI),Berlin (TXL),B737,7620,20:00,22:40,52.559,13.3,Niki,0
HG3165,Faro (FAO),Berlin (TXL),B752,10980,18:15,22:40,52.559,13.3,Privilege Style,0
TP532,Lisbon (LIS),Berlin (TXL),A319,11040,18:15,22:45,52.559,13.3,TAP Portugal,22
AB6210,Munich (MUC),Berlin (TXL),A320,2700,21:35,22:45,52.559,13.3,Air Berlin,22
IB3674,Madrid (MAD),Berlin (TXL),A320,8220,19:45,22:45,52.559,13.3,Iberia Express,22
4U3002,Stuttgart (STR),Berlin (TXL),A319,2820,00:15,01:25,52.559,13.3,Germanwings,0
AB3547,Reykjavik (KEF),Berlin (TXL),A320,11880,00:40,06:05,52.559,13.3,Air Berlin,6
AB7495,Abu Dhabi (AUH),Berlin (TXL),B772,21720,02:30,07:00,52.559,13.3,Privilege Style,6
AB7421,Chicago (ORD),Berlin (TXL),A332,29520,15:25,07:00,52.559,13.3,Air Berlin,6
AB7249,New York (JFK),Berlin (TXL),A332,26580,17:15,07:00,52.559,13.3,Air Berlin,10
AB8517,Salzburg (SZG),Berlin (TXL),DH8D,4500,06:30,07:50,52.559,13.3,Air Berlin,8
EW12,Cologne (CGN),Berlin (TXL),A320,2640,06:20,07:30,52.559,13.3,Eurowings,8
AB6572,Frankfurt (FRA),Berlin (TXL),A320,2820,06:20,07:30,52.559,13.3,Air Berlin   ,8
AB6490,Cologne (CGN),Berlin (TXL),A320,2820,06:25,07:30,52.559,13.3,Air Berlin,8
AB6180,Munich (MUC),Berlin (TXL),A320,2700,06:20,07:30,52.559,13.3,Air Berlin,8
EW9048,Dusseldorf (DUS),Berlin (TXL),A319,3060,06:30,07:35,52.559,13.3,Eurowings,8
LH2028,Munich (MUC),Berlin (TXL),A320,2760,06:30,07:35,52.559,13.3,Lufthansa,8
AB8061,Gothenburg (GOT),Berlin (TXL),A320,3180,06:20,07:35,52.559,13.3,Air Berlin   ,8
AB6530,Stuttgart (STR),Berlin (TXL),A320,2940,06:20,07:35,52.559,13.3,Air Berlin,8
AB8401,Vienna (VIE),Berlin (TXL),A320,3360,06:30,07:40,52.559,13.3,Air Berlin,8
AB8201,Krakow (KRK),Berlin (TXL),DH8D,3780,06:20,07:40,52.559,13.3,Air Berlin,8
AB8241,Prague (PRG),Berlin (TXL),DH8D,2040,06:50,07:45,52.559,13.3,Wideroe,8
SN2579,Brussels (BRU),Berlin (TXL),SU95,3900,06:20,07:50,52.559,13.3,Brussels Airlines,8
AB6630,Karlsruhe/Baden-Baden (FKB),Berlin (TXL),DH8D,4500,06:30,07:50,52.559,13.3,Air Berlin,8
AB6432,Dusseldorf (DUS),Berlin (TXL),A320,3180,06:40,07:50,52.559,13.3,Air Berlin,8
AB6410,Nurnberg (NUE),Berlin (TXL),DH8D,2880,06:45,07:50,52.559,13.3,Air Berlin,8
UA962,New York (EWR),Berlin (TXL),B764,26040,17:45,07:50,52.559,13.3,United Airlines,10
4U2014,Stuttgart (STR),Berlin (TXL),A319,3300,06:40,07:55,52.559,13.3,Germanwings,8
LH170,Frankfurt (FRA),Berlin (TXL),A320,3180,06:45,07:55,52.559,13.3,Lufthansa,8
AB8561,Zurich (ZRH),Berlin (TXL),A320,4140,06:30,07:55,52.559,13.3,Niki,8
AB8261,Budapest (BUD),Berlin (TXL),A320,3960,06:25,07:50,52.559,13.3,Alitalia,8
AB8211,Warsaw (WAW),Berlin (TXL),DH8D,4680,06:30,07:55,52.559,13.3,Air Berlin,8
AB8071,Helsinki (HEL),Berlin (TXL),A320,5760,07:00,07:55,52.559,13.3,Air Berlin,8
AB8031,Copenhagen (CPH),Berlin (TXL),A320,3000,06:55,07:55,52.559,13.3,Air Berlin,8
AB6479,Saarbrucken (SCN),Berlin (TXL),DH8D,4380,06:30,07:55,52.559,13.3,Air Berlin,8
FB319,Sofia (SOF),Berlin (TXL),A319,6240,06:40,07:55,52.559,13.3,Fastjet,8
AB8731,Milan (LIN),Berlin (TXL),A320,4740,06:25,08:05,52.559,13.3,Alitalia,8
LH2030,Munich (MUC),Berlin (TXL),A319,3120,07:00,08:05,52.559,13.3,Lufthansa,8
AB8381,Tel Aviv (TLV),Berlin (TXL),A320,13020,04:50,08:05,52.559,13.3,Air Berlin,8
AB8291,Paris (CDG),Berlin (TXL),A320,4980,06:20,08:05,52.559,13.3,Alitalia,8
AB8001,Stockholm (ARN),Berlin (TXL),A320,4500,06:30,08:05,52.559,13.3,Air Berlin,8
KL1821,Amsterdam (AMS),Berlin (TXL),B737,3600,07:00,08:20,52.559,13.3,KLM,8
AB6492,Cologne (CGN),Berlin (TXL),B738,3420,07:20,08:25,52.559,13.3,Air Berlin,8
LH172,Frankfurt (FRA),Berlin (TXL),A320,2760,07:15,08:25,52.559,13.3,Lufthansa,8
AB8701,Rome (FCO),Berlin (TXL),A320,5880,06:35,08:40,52.559,13.3,Alitalia,8
EW9050,Dusseldorf (DUS),Berlin (TXL),A320,3240,07:25,08:30,52.559,13.3,Eurowings,8
OS271,Vienna (VIE),Berlin (TXL),A320,3120,07:20,08:35,52.559,13.3,Austrian Airlines,8
LG9471,Luxembourg (LUX),Berlin (TXL),DH8D,4140,07:05,08:35,52.559,13.3,Luxair,8
BT211,Riga (RIX),Berlin (TXL),DH8D,5340,07:45,08:40,52.559,13.3,Air Baltic,8
4U24,Cologne (CGN),Berlin (TXL),A319,3120,07:30,08:40,52.559,13.3,Germanwings,8
LX974,Zurich (ZRH),Berlin (TXL),A320,3960,07:20,08:45,52.559,13.3,Swiss,8
AY911,Helsinki (HEL),Berlin (TXL),E190,5820,07:50,08:45,52.559,13.3,Finnair,8
LH174,Frankfurt (FRA),Berlin (TXL),A321,2880,07:45,08:55,52.559,13.3,Lufthansa,8
LH2032,Munich (MUC),Berlin (TXL),A320,2940,08:00,09:05,52.559,13.3,Lufthansa,10
AF1434,Paris (CDG),Berlin (TXL),A320,4680,07:25,09:05,52.559,13.3,Air France,8
4U8061,Nurnberg (NUE),Berlin (TXL),A319,2220,08:10,09:10,52.559,13.3,Germanwings,8
S73081,St. Petersburg (LED),Berlin (TXL),A319,6900,07:45,09:15,52.559,13.3,S7 Airlines,8
4U8041,Dusseldorf (DUS),Berlin (TXL),A319,2940,08:15,09:20,52.559,13.3,Germanwings,10
AB6494,Cologne (CGN),Berlin (TXL),A320,2520,08:15,09:20,52.559,13.3,Air Berlin,10
TK1721,Istanbul (IST),Berlin (TXL),A333,8040,07:40,09:35,52.559,13.3,Turkish Airlines,10
BE1851,Birmingham (BHX),Berlin (TXL),E75S,5640,06:50,09:35,52.559,13.3,Flybe,10
AB8403,Vienna (VIE),Berlin (TXL),A320,3420,08:20,09:35,52.559,13.3,Air Berlin,10
4U8057,Cologne (CGN),Berlin (TXL),A319,2940,08:35,09:45,52.559,13.3,Germanwings,10
4U8001,Stuttgart (STR),Berlin (TXL),A319,3060,08:30,09:45,52.559,13.3,Germanwings,10
AB6534,Stuttgart (STR),Berlin (TXL),A320,2940,09:25,10:40,52.559,13.3,Air Berlin,10
AB6184,Munich (MUC),Berlin (TXL),A320,2640,08:40,09:50,52.559,13.3,Air Berlin,10
J263,Baku (GYD),Berlin (TXL),A319,16920,07:00,09:55,52.559,13.3,Azerbaijan Airlines,10
LH176,Frankfurt (FRA),Berlin (TXL),A321,2640,08:45,09:55,52.559,13.3,Lufthansa,10
AB6434,Dusseldorf (DUS),Berlin (TXL),A320,2880,08:45,09:55,52.559,13.3,Air Berlin,10
BA990,London (LHR),Berlin (TXL),A321,5220,07:15,10:05,52.559,13.3,British Airways,10
EI330,Dublin (DUB),Berlin (TXL),A320,7320,06:45,10:05,52.559,13.3,Aer Lingus,10
LH2034,Munich (MUC),Berlin (TXL),A319,2580,09:00,10:05,52.559,13.3,Lufthansa,10
LX976,Zurich (ZRH),Berlin (TXL),A320,3600,08:50,10:10,52.559,13.3,Swiss   ,10
AB8563,Zurich (ZRH),Berlin (TXL),A320,3600,08:50,10:15,52.559,13.3,Air Berlin,10
AB6186,Munich (MUC),Berlin (TXL),A320,2700,09:20,10:30,52.559,13.3,Air Berlin,10
4U8011,Stuttgart (STR),Berlin (TXL),A319,3300,09:25,10:40,52.559,13.3,Germanwings,10
4U8407,Paris (CDG),Berlin (TXL),A319,5100,09:20,10:55,52.559,13.3,Germanwings,10
SN2581,Brussels (BRU),Berlin (TXL),A319,3660,09:30,10:55,52.559,13.3,Brussels Airlines,10
LH178,Frankfurt (FRA),Berlin (TXL),A321,2880,09:45,10:55,52.559,13.3,Lufthansa,12
EW14,Cologne (CGN),Berlin (TXL),A319,2700,09:55,11:05,52.559,13.3,Germanwings,10
BA8491,London (LCY),Berlin (TXL),E190,4860,08:20,11:05,52.559,13.3,British Airways,12
LH2194,Munich (MUC),Berlin (TXL),E190,3120,19:30,20:35,52.559,13.3,Lufthansa,20
AB8243,Prague (PRG),Berlin (TXL),DH8D,2220,10:15,11:10,52.559,13.3,Wideroe,10
AZ422,Rome (FCO),Berlin (TXL),A319,6060,09:05,11:15,52.559,13.3,Alitalia,10
AB6498,Cologne (CGN),Berlin (TXL),A320,2580,10:30,11:35,52.559,13.3,Air Berlin,12
TK1729,Istanbul (SAW),Berlin (TXL),B738,8700,09:15,11:20,52.559,13.3,Turkish Airlines,10
KL1823,Amsterdam (AMS),Berlin (TXL),B738,3600,10:15,11:30,52.559,13.3,KLM,12
AF1734,Paris (CDG),Berlin (TXL),A321,4500,09:50,11:30,52.559,13.3,Air France,12
AB6442,Dusseldorf (DUS),Berlin (TXL),DH8D,3480,09:40,10:55,52.559,13.3,Air Berlin,12
XQ160,Antalya (AYT),Berlin (TXL),B738,11340,09:00,11:35,52.559,13.3,SunExpress,12
BA982,London (LHR),Berlin (TXL),A320,5340,08:45,11:35,52.559,13.3,British Airways,12
AB7455,New York (JFK),Berlin (TXL),A332,26040,21:40,11:30,52.559,13.3,Air Berlin,12
4U8461,London (LHR),Berlin (TXL),A319,5580,08:50,11:40,52.559,13.3,Germanwings,12
HG3771,Corfu (CFU),Berlin (TXL),B752,7200,10:10,11:40,52.559,13.3,Privilege Style,12
IB3676,Madrid (MAD),Berlin (TXL),A320,8880,08:45,11:45,52.559,13.3,Iberia Express,12
4U2000,Stuttgart (STR),Berlin (TXL),A319,3060,10:30,11:45,52.559,13.3,Germanwings,12
AB6414,Nurnberg (NUE),Berlin (TXL),DH8D,2880,10:45,11:50,52.559,13.3,Air Berlin,12
AB6188,Munich (MUC),Berlin (TXL),A320,2700,10:40,11:50,52.559,13.3,Air Berlin,12
SK1673,Copenhagen (CPH),Berlin (TXL),A320,2580,06:20,07:20,52.559,13.3,SAS,8
LH180,Frankfurt (FRA),Berlin (TXL),A320,3120,10:45,11:55,52.559,13.3,Lufthansa,12
AB8511,Salzburg (SZG),Berlin (TXL),DH8D,3900,10:45,12:00,52.559,13.3,Air Berlin,12
AB8405,Vienna (VIE),Berlin (TXL),A320,3060,10:40,11:55,52.559,13.3,Alitalia,12
AB8213,Warsaw (WAW),Berlin (TXL),DH8D,3720,10:40,12:05,52.559,13.3,Air Berlin,12
AB8063,Gothenburg (GOT),Berlin (TXL),A320,3360,10:45,12:00,52.559,13.3,Alitalia,12
AB6634,Karlsruhe/Baden-Baden (FKB),Berlin (TXL),DH8D,4080,10:40,12:00,52.559,13.3,Air Berlin,12
AB6580,Frankfurt (FRA),Berlin (TXL),A320,2820,10:50,12:00,52.559,13.3,Air Berlin,12
HG7733,Palma de Mallorca (PMI),Berlin (TXL),B737,8280,09:20,12:00,52.559,13.3,Niki,12
LH2036,Munich (MUC),Berlin (TXL),A320,2820,11:00,12:05,52.559,13.3,Lufthansa,12
AB8203,Krakow (KRK),Berlin (TXL),DH8D,3900,10:40,12:05,52.559,13.3,Air Berlin,12
AB6540,Stuttgart (STR),Berlin (TXL),A320,2940,10:45,12:00,52.559,13.3,Air Berlin,12
